TY	y45	HSP70	treatment	deltaCT	HKdeltaCT	GOIdeltaCT	pfafflRatio
sample01	larvae	24.34	23.545	C	-0.794999999999998	0.742000000000001	0.326999999999998	0.748543658589559
sample02	larvae	25.215	24.66	C	-0.555	-0.132999999999999	-0.788	0.665403002929081
sample03	larvae	25.12	22.375	C	-2.745	-0.0380000000000003	1.497	2.63267549689629
sample04	larvae	26.7	26.725	C	0.0250000000000021	-1.618	-2.853	0.488745116954764
sample05	larvae	24.035	22.055	C	-1.98	1.047	1.817	1.56033677828883
sample06	larvae	25.09	22.81	T	-2.28	-0.00799999999999912	1.062	1.96218221236342
sample07	larvae	25.915	24.03	T	-1.885	-0.832999999999998	-0.158000000000001	1.57903398104649
sample08	larvae	23.575	21.215	T	-2.36	1.507	2.657	1.947656717191
sample09	larvae	24.435	21.12	T	-3.315	0.647000000000002	2.752	3.67215737101736
sample10	larvae	23.735	19.69	T	-4.045	1.347	4.182	5.66175362202853
sample11	worker	25.005	30.55	C	5.545	-0.811666666666664	-1.4225	0.702115399333291
sample12	worker	24.26	30.43	C	6.17	-0.0666666666666664	-1.3025	0.46041389900736
sample13	worker	25.73	31.82	C	6.09	-1.53666666666667	-2.6925	0.512134420177008
sample14	worker	22.83	25.245	T	2.415	1.36333333333334	3.8825	4.637791122885
sample15	worker	23.155	26.15	T	2.995	1.03833333333333	2.9775	3.25902181056288
sample16	worker	21.535	25.52	T	3.985	2.65833333333333	3.6075	1.64253142885522
sample17	worker	22.95	24.9	C	1.95	1.24333333333334	4.2275	6.24396575310821
sample18	worker	23.69	28.36	C	4.67	0.503333333333334	0.767499999999998	1.15850987900565
sample19	worker	23.525	28.705	C	5.18	0.668333333333337	0.422499999999999	0.835023804976675
sample20	worker	24.105	25.17	T	1.065	0.0883333333333347	3.9575	11.3923976329903
sample21	worker	23.4	23.425	T	0.0250000000000021	0.793333333333337	5.7025	21.3469527893816
sample22	worker	22.935	23.065	T	0.130000000000003	1.25833333333334	6.0625	19.6298478523286
sample23	queen	23.52	22.925	C	-0.594999999999999	0.00400000000000134	1.08	1.96870786355181
sample24	queen	23.905	30.745	C	6.84	-0.381	-6.74	0.018507765553898
sample25	queen	23.475	22.18	C	-1.295	0.0489999999999995	1.825	3.05394071197655
sample26	queen	23.735	23.08	C	-0.655000000000001	-0.210999999999999	0.925000000000001	2.06135008334358
sample27	queen	22.985	21.095	C	-1.89	0.539000000000001	2.91	4.35965755920842
sample28	queen	22.72	23.64	T	0.920000000000002	0.804000000000002	0.364999999999998	0.73557444365994
sample29	queen	22.705	22.025	T	-0.68	0.819000000000003	1.98	2.01335757529828
sample30	queen	22.595	21.565	T	-1.03	0.929000000000002	2.44	2.49925558474713
sample31	queen	22.61	22.74	T	0.129999999999999	0.914000000000001	1.265	1.20459392908173
sample32	queen	22.92	22.03	T	-0.890000000000001	0.603999999999999	1.975	2.31691997169862
